Pace,Pull
13.24,-1.3
12.14,-0.2
10.53,-0.1
9.39,1.2
2.03,0.9
1.08,3.1
0.38,278.6
0.77,-4.7
1.56,-117.1
2.01,-8.2
2.27,-13.2
3.82,0.2
3.13,3710.3
2.62,-23
3.02,-1.3
3.07,-2.8
3.16,-10.2
2.68,102.3
2.88,-11
2.68,-41.9
3.13,-79.7
2.76,-19.7
2.7,-0.6
2.36,-5.6
0.67,-1.3
0.34,-0.7
0.11,12
0.28,1.1
0.35,-7.6
0.29,101.4
0.21,-0.5
0.35,-111.3
0.97,-7.4
1.09,-202.4
1.17,-1
1.14,-1.9
1.48,-187.7
1.63,1.8
1.92,-58.8
2.08,-112.1
2.06,2.3
1.99,-134.5
1.97,2.5
2.04,2.9
1.95,-174.4
1.88,3.3
1.94,-156
2.03,2.2
2.15,3710.3
2.29,-76.6
2.27,2.7
2.29,-87.9
2.43,7.4
2.72,-36.6
2.63,-46.8
2.78,2.1
2.76,-99
2.84,2.2
2.85,-148.3
2.43,2.5
2.08,1.5
2,2
1.32,-46.2
0.66,-12.3
0.42,-12.7
0.62,-144.6
0.56,-180.8
0.71,-86.1
0.71,0.6
0.54,5.7
