Time,Pace,Pull
36845,1.85,-1.8
37843,1.47,-2.6
38805,0.86,-1.7
39803,0.92,56
40873,0.7,50.2
41874,0.65,72.4
42821,0.65,51.6
43804,0.6,44.2
44819,0.68,43.4
45817,0.68,-4.1
46816,0.73,-4.3
47798,0.69,-9.1
48798,0.68,-8.1
49816,0.64,1.1
50797,0.63,0.4
51796,0.53,-1.4
52850,0.44,17.6
53794,0.41,21.9
54867,0.36,-1.8
55844,0.42,-1.6
56573,0.49,-2.1
57572,0.55,2
58566,0.51,29.8
59561,0.53,1.2
60575,0.47,-1.6
61573,0.44,2.9
62569,0.53,0.7
63558,0.68,-2.6
64558,0.67,-1.4
65579,0.64,18.1
66563,0.64,57.9
67567,0.5,68.7
68576,0.4,60.5
69561,0.48,53.1
70561,0.43,63.6
71559,0.42,3.3
72558,0.5,3.8
73571,0.55,4.7
74562,0.56,-4.1
75565,0.83,-0.7
76876,0.92,-0.4
77874,0.96,-1.1
78874,0.85,0
79823,0.77,1.2
80824,0.79,1.8
81827,0.78,14.1
82853,0.78,16
83832,0.77,16.7
